cluster	Spannungsebene_Category	Spannungsebene_Category
-1	Mittelspannung	1266
-1	Hochspannung	154
-1	Umspannebene Hochspannung/Mittelspannung	123
-1	Niederspannung	109
-1	Umspannebene Mittelspannung/Niederspannung	66
-1	Höchstspannung	5
0	Höchstspannung	246
1	Höchstspannung	80
2	Höchstspannung	80
3	Höchstspannung	72
4	Höchstspannung	178
5	Höchstspannung	167
6	Mittelspannung	6
7	Mittelspannung	6
8	Höchstspannung	80
8	Hochspannung	1
9	Hochspannung	8
9	Mittelspannung	3
10	Mittelspannung	15
10	Hochspannung	14
11	Mittelspannung	4
11	Niederspannung	1
12	Mittelspannung	6
13	Höchstspannung	18
14	Mittelspannung	6
15	Mittelspannung	4
16	Mittelspannung	5
17	Mittelspannung	5
18	Hochspannung	5
18	Mittelspannung	4
19	Mittelspannung	5
20	Höchstspannung	21
21	Mittelspannung	4
22	Mittelspannung	4
23	Mittelspannung	11
24	Mittelspannung	5
25	Hochspannung	9
25	Mittelspannung	1
26	Hochspannung	7
26	Mittelspannung	1
27	Hochspannung	9
27	Mittelspannung	2
28	Hochspannung	6
29	Mittelspannung	4
30	Hochspannung	8
31	Höchstspannung	272
31	Hochspannung	12
32	Mittelspannung	9
33	Höchstspannung	54
34	Höchstspannung	97
35	Mittelspannung	4
36	Höchstspannung	30
36	Mittelspannung	2
37	Mittelspannung	6
38	Mittelspannung	3
38	Niederspannung	2
39	Mittelspannung	4
39	Niederspannung	1
40	Umspannebene Hochspannung/Mittelspannung	10
41	Hochspannung	14
41	Umspannebene Hochspannung/Mittelspannung	6
41	Mittelspannung	3
42	Höchstspannung	129
43	Mittelspannung	4
44	Mittelspannung	4
45	Mittelspannung	7
46	Mittelspannung	4
47	Mittelspannung	5
48	Mittelspannung	10
49	Hochspannung	11
50	Höchstspannung	27
51	Mittelspannung	8
52	Mittelspannung	13
53	Mittelspannung	14
54	Mittelspannung	4
55	Mittelspannung	2
55	Niederspannung	2
56	Mittelspannung	9
56	Niederspannung	1
57	Mittelspannung	6
58	Umspannebene Hochspannung/Mittelspannung	6
59	Mittelspannung	7
60	Mittelspannung	4
61	Mittelspannung	5
62	Mittelspannung	5
63	Umspannebene Hochspannung/Mittelspannung	4
64	Umspannebene Hochspannung/Mittelspannung	4
65	Umspannebene Hochspannung/Mittelspannung	7
65	Mittelspannung	3
66	Mittelspannung	10
67	Mittelspannung	5
68	Hochspannung	13
69	Mittelspannung	4
70	Mittelspannung	11
70	Niederspannung	1
71	Mittelspannung	9
72	Mittelspannung	5
73	Mittelspannung	4
73	Niederspannung	2
74	Hochspannung	6
75	Umspannebene Hochspannung/Mittelspannung	13
75	Mittelspannung	4
76	Mittelspannung	5
77	Mittelspannung	8
77	Hochspannung	3
78	Mittelspannung	13
79	Mittelspannung	8
80	Hochspannung	20
80	Mittelspannung	3
81	Mittelspannung	9
82	Mittelspannung	5
83	Umspannebene Hochspannung/Mittelspannung	6
84	Hochspannung	4
84	Umspannebene Hochspannung/Mittelspannung	1
85	Mittelspannung	10
86	Hochspannung	19
87	Höchstspannung	39
87	Hochspannung	14
87	Umspannebene Hochspannung/Mittelspannung	12
87	Mittelspannung	10
88	Umspannebene Hochspannung/Mittelspannung	5
89	Umspannebene Hochspannung/Mittelspannung	5
90	Mittelspannung	12
91	Mittelspannung	4
92	Mittelspannung	5
93	Umspannebene Hochspannung/Mittelspannung	5
94	Höchstspannung	6
94	Mittelspannung	1
95	Höchstspannung	14
95	Umspannebene Hochspannung/Mittelspannung	5
95	Mittelspannung	4
96	Hochspannung	49
96	Umspannebene Hochspannung/Mittelspannung	22
96	Höchstspannung	8
97	Hochspannung	10
97	Umspannebene Hochspannung/Mittelspannung	6
97	Mittelspannung	3
97	Niederspannung	1
98	Umspannebene Hochspannung/Mittelspannung	9
98	Mittelspannung	6
98	Hochspannung	5
99	Umspannebene Hochspannung/Mittelspannung	17
99	Mittelspannung	3
100	Umspannebene Hochspannung/Mittelspannung	22
100	Mittelspannung	4
101	Mittelspannung	5
102	Mittelspannung	5
103	Mittelspannung	12
104	Mittelspannung	12
105	Mittelspannung	5
106	Mittelspannung	5
107	Mittelspannung	4
108	Mittelspannung	5
109	Hochspannung	7
110	Umspannebene Hochspannung/Mittelspannung	10
110	Hochspannung	2
111	Mittelspannung	6
112	Mittelspannung	5
113	Mittelspannung	6
114	Mittelspannung	5
115	Mittelspannung	6
116	Hochspannung	6
116	Umspannebene Hochspannung/Mittelspannung	3
116	Mittelspannung	2
117	Umspannebene Hochspannung/Mittelspannung	7
117	Mittelspannung	5
118	Mittelspannung	9
119	Mittelspannung	7
120	Mittelspannung	12
121	Hochspannung	9
122	Hochspannung	7
123	Hochspannung	6
124	Mittelspannung	6
125	Mittelspannung	4
126	Mittelspannung	3
126	Umspannebene Hochspannung/Mittelspannung	1
127	Mittelspannung	7
127	Umspannebene Mittelspannung/Niederspannung	1
128	Hochspannung	7
128	Mittelspannung	2
128	Umspannebene Mittelspannung/Niederspannung	1
129	Mittelspannung	4
130	Hochspannung	14
130	Mittelspannung	1
131	Mittelspannung	5
132	Mittelspannung	4
133	Umspannebene Hochspannung/Mittelspannung	6
133	Mittelspannung	1
134	Mittelspannung	9
134	Hochspannung	4
135	Mittelspannung	4
136	Hochspannung	9
137	Mittelspannung	6
138	Hochspannung	11
138	Mittelspannung	2
139	Mittelspannung	14
140	Niederspannung	4
140	Mittelspannung	3
141	Mittelspannung	8
141	Hochspannung	3
142	Mittelspannung	11
143	Umspannebene Hochspannung/Mittelspannung	9
144	Mittelspannung	4
145	Umspannebene Hochspannung/Mittelspannung	5
145	Mittelspannung	2
146	Mittelspannung	10
147	Mittelspannung	4
148	Mittelspannung	4
149	Mittelspannung	8
150	Mittelspannung	16
151	Mittelspannung	10
152	Umspannebene Hochspannung/Mittelspannung	5
153	Mittelspannung	7
154	Hochspannung	3
154	Mittelspannung	1
155	Mittelspannung	5
156	Umspannebene Hochspannung/Mittelspannung	5
157	Mittelspannung	4
158	Hochspannung	9
158	Mittelspannung	1
159	Hochspannung	5
159	Mittelspannung	1
160	Mittelspannung	5
161	Mittelspannung	4
162	Hochspannung	7
163	Mittelspannung	5
164	Mittelspannung	2
164	Umspannebene Mittelspannung/Niederspannung	2
165	Mittelspannung	4
166	Umspannebene Hochspannung/Mittelspannung	5
166	Mittelspannung	2
167	Mittelspannung	6
168	Mittelspannung	6
169	Mittelspannung	5
170	Mittelspannung	8
171	Mittelspannung	11
172	Mittelspannung	6
173	Mittelspannung	12
174	Mittelspannung	4
175	Mittelspannung	7
176	Mittelspannung	12
177	Mittelspannung	5
178	Mittelspannung	4
179	Hochspannung	9
180	Umspannebene Hochspannung/Mittelspannung	8
181	Umspannebene Hochspannung/Mittelspannung	6
182	Hochspannung	12
182	Umspannebene Hochspannung/Mittelspannung	8
182	Mittelspannung	4
183	Hochspannung	4
184	Mittelspannung	9
185	Mittelspannung	13
186	Hochspannung	18
187	Mittelspannung	8
188	Mittelspannung	4
189	Mittelspannung	7
190	Mittelspannung	4
191	Mittelspannung	7
192	Umspannebene Hochspannung/Mittelspannung	4
192	Mittelspannung	1
193	Mittelspannung	14
194	Umspannebene Hochspannung/Mittelspannung	9
194	Mittelspannung	8
195	Mittelspannung	4
195	Niederspannung	1
196	Mittelspannung	6
197	Mittelspannung	4
197	Hochspannung	3
197	Umspannebene Hochspannung/Mittelspannung	2
198	Mittelspannung	9
198	Hochspannung	3
199	Mittelspannung	5
200	Mittelspannung	5
201	Mittelspannung	4
202	Mittelspannung	9
203	Mittelspannung	6
204	Mittelspannung	4
205	Mittelspannung	9
206	Mittelspannung	5
207	Mittelspannung	4
207	Umspannebene Hochspannung/Mittelspannung	3
208	Mittelspannung	4
209	Mittelspannung	8
210	Mittelspannung	5
211	Mittelspannung	6
212	Höchstspannung	16
212	Hochspannung	5
212	Umspannebene Höchstspannung/Hochspannung	4
213	Mittelspannung	9
213	Umspannebene Hochspannung/Mittelspannung	1
214	Mittelspannung	7
214	Umspannebene Hochspannung/Mittelspannung	1
215	Mittelspannung	6
215	Hochspannung	5
215	Umspannebene Hochspannung/Mittelspannung	4
216	Mittelspannung	7
216	Umspannebene Hochspannung/Mittelspannung	4
217	Mittelspannung	11
218	Mittelspannung	7
219	Mittelspannung	7
220	Hochspannung	3
221	Hochspannung	6
222	Mittelspannung	5
223	Umspannebene Hochspannung/Mittelspannung	7
224	Umspannebene Hochspannung/Mittelspannung	4
225	Mittelspannung	7
225	Niederspannung	1
226	Hochspannung	3
226	Mittelspannung	1
227	Hochspannung	6
227	Umspannebene Hochspannung/Mittelspannung	2
227	Mittelspannung	1
228	Hochspannung	15
228	Mittelspannung	2
228	Niederspannung	1
228	Umspannebene Hochspannung/Mittelspannung	1
229	Mittelspannung	8
229	Umspannebene Hochspannung/Mittelspannung	6
230	Hochspannung	15
230	Mittelspannung	8
230	Umspannebene Hochspannung/Mittelspannung	4
231	Mittelspannung	7
231	Hochspannung	1
232	Mittelspannung	4
233	Mittelspannung	7
234	Mittelspannung	11
235	Hochspannung	4
236	Hochspannung	4
237	Mittelspannung	4
238	Mittelspannung	4
239	Umspannebene Hochspannung/Mittelspannung	4
240	Hochspannung	9
240	Mittelspannung	1
241	Hochspannung	20
241	Mittelspannung	11
242	Hochspannung	23
242	Mittelspannung	3
242	Umspannebene Hochspannung/Mittelspannung	3
243	Mittelspannung	27
243	Hochspannung	14
243	Umspannebene Hochspannung/Mittelspannung	2
244	Hochspannung	16
245	Hochspannung	18
245	Mittelspannung	3
245	Niederspannung	3
246	Hochspannung	3
246	Mittelspannung	3
247	Mittelspannung	6
248	Mittelspannung	7
249	Umspannebene Hochspannung/Mittelspannung	3
249	Mittelspannung	1
250	Hochspannung	21
251	Hochspannung	13
251	Mittelspannung	11
252	Mittelspannung	4
253	Mittelspannung	5
253	Umspannebene Hochspannung/Mittelspannung	3
254	Mittelspannung	7
255	Mittelspannung	4
256	Mittelspannung	8
257	Mittelspannung	5
258	Mittelspannung	4
259	Mittelspannung	3
260	Höchstspannung	5
261	Höchstspannung	21
262	Höchstspannung	17
263	Mittelspannung	12
263	Hochspannung	6
263	Umspannebene Hochspannung/Mittelspannung	1
264	Umspannebene Hochspannung/Mittelspannung	7
264	Mittelspannung	2
265	Mittelspannung	9
266	Mittelspannung	10
266	Hochspannung	3
